email,phone,amount,date
alice.brown@example.com,5559885152,0.00,2021-10-25
alice.brown@outlook.com,INVALID,680.34,INVALID
alice.davis@company.com,INVALID,0.00,INVALID
alice.davis@company.com,INVALID,4284.84,2021-12-09
alice.davis@example.com,INVALID,3131.06,2024-12-21
alice.davis@test.com,INVALID,2996.27,2023-11-15
alice.johnson@company.com,INVALID,0.00,INVALID
alice.johnson@outlook.com,5551663285,2715.00,INVALID
alice.jones@company.com,5552444932,1901.15,INVALID
alice.jones@example.com,5559645288,3127.16,2022-05-23
alice.jones@example.com,INVALID,0.00,2023-12-28
alice.miller@example.com,5552486745,3249.66,2024-12-01
alice.miller@gmail.com,INVALID,0.00,INVALID
alice.moore@example.com,INVALID,4237.09,INVALID
alice.taylor@gmail.com,5551445570,3049.00,2021-03-15
alice.taylor@yahoo.com,5553032444,2544.64,2020-05-08
alice.williams@gmail.com,5557982298,0.00,INVALID
alice.williams@test.com,5555482393,3481.68,INVALID
alice.wilson@example.com,INVALID,0.00,2020-12-20
alice.wilson@test.com,INVALID,1010.00,INVALID
anna.brown@outlook.com,5551928628,3426.86,2020-05-21
anna.brown@test.com,INVALID,4588.44,2020-01-03
anna.brown@yahoo.com,5554706199,0.00,2024-11-01
anna.davis@gmail.com,INVALID,879.68,INVALID
anna.johnson@example.com,INVALID,0.00,INVALID
anna.johnson@gmail.com,INVALID,331.05,2020-05-23
anna.jones@gmail.com,5551831873,3743.35,2024-12-11
anna.jones@test.com,INVALID,1315.04,2023-02-02
anna.miller@test.com,5558348414,0.00,2021-10-19
anna.moore@company.com,INVALID,2266.00,2020-10-15
anna.moore@example.com,INVALID,2681.00,2022-06-18
anna.moore@test.com,5554736230,4123.74,INVALID
anna.smith@company.com,INVALID,1771.90,2024-11-10
anna.taylor@example.com,INVALID,1579.60,2020-02-03
anna.taylor@yahoo.com,INVALID,442.18,2021-11-08
anna.williams@gmail.com,5558455511,0.00,INVALID
anna.williams@gmail.com,INVALID,0.00,2025-07-21
anna.williams@yahoo.com,INVALID,2776.95,2022-02-03
anna.wilson@example.com,INVALID,3727.90,INVALID
anna.wilson@yahoo.com,5555431853,0.00,INVALID
anna.wilson@yahoo.com,5555317951,3968.91,2025-04-13
blank.line@example.com,INVALID,0.00,INVALID
bob.brown@example.com,5558877622,0.00,INVALID
bob.brown@gmail.com,INVALID,0.00,2024-08-17
bob.brown@gmail.com,INVALID,1580.95,2020-05-26
bob.davis@company.com,5556059004,1308.05,INVALID
bob.davis@example.com,INVALID,3913.00,INVALID
bob.davis@yahoo.com,5554221943,4922.60,INVALID
bob.davis@yahoo.com,INVALID,3133.69,2024-12-16
bob.johnson@gmail.com,INVALID,0.00,2022-11-05
bob.jones@example.com,5558082813,3454.31,INVALID
bob.jones@gmail.com,5553773343,0.00,INVALID
bob.jones@gmail.com,INVALID,2267.52,2024-04-14
bob.miller@example.com,5558543311,0.00,2023-01-25
bob.moore@example.com,5551607549,0.00,INVALID
bob.moore@gmail.com,5559456881,0.00,INVALID
bob.moore@outlook.com,INVALID,0.00,INVALID
bob.moore@yahoo.com,5557414815,0.00,INVALID
bob.smith@test.com,INVALID,4433.06,INVALID
bob.taylor@company.com,5555179002,566.63,2024-08-01
bob.taylor@company.com,5551254692,3585.07,INVALID
bob.taylor@yahoo.com,INVALID,4326.59,2020-04-08
bob.williams@company.com,5559134211,2017.00,INVALID
bob.williams@example.com,5557953229,2587.00,2023-09-10
bob.williams@gmail.com,INVALID,1040.16,INVALID
bob.williams@outlook.com,5555289986,0.00,INVALID
bob.williams@test.com,INVALID,0.00,2020-06-13
bob.williams@yahoo.com,INVALID,725.97,INVALID
bob.wilson@outlook.com,INVALID,1220.90,2025-07-19
bob.wilson@test.com,INVALID,2100.19,INVALID
brian.brown@example.com,5559398002,2366.17,2022-04-07
brian.brown@gmail.com,5557647852,4751.61,2021-12-08
brian.brown@outlook.com,5553978968,1347.00,2021-10-21
brian.davis@company.com,5552615345,0.00,INVALID
brian.davis@example.com,5559136013,2439.83,2024-04-08
brian.davis@example.com,5558062248,0.00,INVALID
brian.davis@outlook.com,INVALID,4417.52,INVALID
brian.johnson@outlook.com,5559191088,2395.77,INVALID
brian.johnson@outlook.com,5553831829,338.45,2024-10-28
brian.johnson@test.com,5555784326,257.00,2022-06-28
brian.johnson@test.com,INVALID,1600.39,2025-08-25
brian.jones@company.com,5559501275,0.00,INVALID
brian.jones@company.com,INVALID,1459.44,INVALID
brian.jones@example.com,INVALID,4081.00,INVALID
brian.jones@outlook.com,INVALID,3255.55,2021-01-23
brian.miller@company.com,5554239790,3830.90,2024-10-17
brian.moore@example.com,5559822108,4407.94,2022-07-25
brian.moore@example.com,INVALID,925.23,2025-02-26
brian.moore@test.com,INVALID,4243.41,INVALID
brian.smith@gmail.com,INVALID,0.00,INVALID
brian.smith@outlook.com,5554244550,3850.86,INVALID
brian.taylor@test.com,INVALID,2812.54,2021-08-19
brian.williams@gmail.com,5551599861,4825.35,2022-02-27
brian.williams@gmail.com,5552288668,4879.75,INVALID
brian.williams@outlook.com,5556255166,1589.00,2020-06-26
brian.williams@outlook.com,5552846057,2218.98,INVALID
brian.williams@test.com,5551024530,650.65,2023-09-11
brian.wilson@company.com,5556772738,2294.00,2025-05-04
brian.wilson@example.com,5551581450,3315.00,2022-10-12
brian.wilson@example.com,5553713415,0.00,INVALID
brian.wilson@gmail.com,5559387313,1857.33,2023-06-02
brian.wilson@yahoo.com,5558492432,0.00,INVALID
charlie.brown@gmail.com,INVALID,0.00,2021-03-26
charlie.brown@gmail.com,INVALID,0.00,INVALID
charlie.brown@outlook.com,5554386189,1127.95,2023-01-28
charlie.brown@test.com,INVALID,4198.01,2021-03-12
charlie.davis@example.com,INVALID,4909.84,2025-08-10
charlie.johnson@example.com,5559008249,494.38,INVALID
charlie.johnson@gmail.com,5551804212,2098.00,2021-11-26
charlie.jones@example.com,5555334090,1704.59,2023-04-10
charlie.jones@outlook.com,5556444130,0.00,2024-11-24
charlie.jones@test.com,5556449229,0.00,2021-01-09
charlie.miller@yahoo.com,5557185719,0.00,2023-05-12
charlie.moore@company.com,5553669032,4435.86,INVALID
charlie.moore@gmail.com,INVALID,0.00,2025-05-23
charlie.smith@example.com,5556913632,2141.47,INVALID
charlie.smith@gmail.com,INVALID,1274.00,2025-05-17
charlie.smith@outlook.com,INVALID,145.12,INVALID
charlie.smith@yahoo.com,INVALID,241.11,2023-06-19
charlie.smith@yahoo.com,5559205416,399.83,2023-11-01
charlie.taylor@company.com,INVALID,2626.00,2022-07-04
charlie.taylor@gmail.com,INVALID,4716.37,INVALID
charlie.taylor@test.com,INVALID,4083.97,INVALID
charlie.wilson@gmail.com,5555138843,0.00,INVALID
charlie.wilson@outlook.com,INVALID,4466.07,2020-05-05
diana.brown@company.com,5556163113,3357.44,INVALID
diana.brown@gmail.com,5553406338,1232.34,2020-02-12
diana.brown@outlook.com,5554549126,0.00,INVALID
diana.brown@yahoo.com,INVALID,0.00,INVALID
diana.davis@company.com,INVALID,0.00,INVALID
diana.johnson@example.com,5556305957,3857.37,2021-09-14
diana.johnson@gmail.com,INVALID,1653.27,INVALID
diana.johnson@outlook.com,INVALID,2263.00,INVALID
diana.johnson@outlook.com,5553764559,1505.14,2021-08-10
diana.johnson@yahoo.com,5559946200,0.00,2024-05-21
diana.jones@company.com,INVALID,2950.19,INVALID
diana.jones@outlook.com,INVALID,3504.23,INVALID
diana.jones@test.com,INVALID,0.00,2022-04-24
diana.miller@gmail.com,INVALID,3473.00,INVALID
diana.miller@test.com,INVALID,4372.00,2023-04-14
