converted,age,income,last_login_days,plan_tier,source,country,sessions,avg_session_minutes,email,device_type,signup_month,engagement_score
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user521@domain21.com,mobile,Dec,-5.791541509248216
1,,43000.0,300.0,basic,,US,2.0,6.858700648177589,user737@domain37.com,desktop,Sep,-2.2365849008830683
1,28.0,52000.0,3.0,pro,ads,US,7.0,12.5,user740@domain40.com,tablet,Dec,14.66548530558807
0,28.0,52000.0,3.0,pro,,US,,12.5,user660@domain10.com,desktop,Feb,0.4299970639923867
1,45.0,42000.0,365.0,basic,organic,CA,1.0,2.8,user411@domain11.com,desktop,Jun,
1,29.0,64000.0,9.0,pro,organic,GB,8.0,13.2,user678@domain28.com,tablet,Sep,11.386120532580616
1,27.0,70000.0,5.0,pro,,CA,12.0,14.4,user626@domain26.com,,Dec,3.176346807049713
1,52.0,40000.0,250.0,basic,ads,GB,2.0,31.364164575480117,user513@domain13.com,desktop,Apr,21.787437089792693
1,,38000.0,400.0,basic,ads,US,1.0,,user859@domain9.com,mobile,Apr,11.918472164283013
0,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user136@domain36.com,tablet,Jun,4.875357287400267
1,115.01460617307119,42000.0,365.0,,organic,CA,,2.8,user811@domain11.com,smart_tv,Jan,5.763394639634366
0,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user76@domain26.com,mobile,Apr,13.823105399673237
0,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user636@domain36.com,,Jun,14.471798279134372
1,52.0,40000.0,250.0,basic,ads,GB,2.0,4.0,user973@domain23.com,desktop,Sep,2.0412990398458764
1,29.0,64000.0,9.0,pro,organic,GB,8.0,,user938@domain38.com,desktop,Apr,9.755133777890997
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user899@domain49.com,mobile,Oct,1.1604674931566485
1,28.0,52000.0,3.0,pro,ads,US,7.0,12.5,user280@domain30.com,mobile,Nov,11.206977276743508
1,,31000.0,120.0,basic,ads,GB,1.0,3.1,user883@domain33.com,desktop,Dec,5.799049912780888
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user761@domain11.com,mobile,Aug,
1,60.0,,400.0,basic,ads,US,,2.5,user319@domain19.com,tablet,Jan,-4.298475443408217
1,29.0,8691.171193202455,200.0,basic,referral,US,2.0,4.1,user549@domain49.com,mobile,Jul,8.684067140425814
1,36.0,90000.0,6.0,pro,,US,13.0,19.0,user174@domain24.com,wearable,Aug,21.76210842019895
1,45.0,42000.0,365.0,basic,organic,CA,1.0,,user371@domain21.com,mobile,Nov,4.744013419940336
1,38.0,50000.0,90.0,basic,organic,GB,4.0,6.2,user527@domain27.com,desktop,Mar,16.31934567157053
1,31.0,,8.0,,ads,US,8.0,13.9,user210@domain10.com,tablet,Dec,12.135146374660245
1,23.0,29000.0,,basic,,US,1.0,3.2,user235@domain35.com,desktop,Mar,2.9400247863983697
1,,39000.0,45.0,basic,organic,US,3.0,5.0,user101@domain1.com,desktop,Sep,9.189296494732048
1,27.0,70000.0,,pro,,CA,12.0,14.4,user986@domain36.com,desktop,Mar,15.10687368497299
1,35.0,,1.0,pro,,CA,15.0,18.2,user902@domain2.com,desktop,Apr,
1,38.0,50000.0,90.0,basic,organic,GB,4.0,6.2,user947@domain47.com,mobile,Sep,11.976788873333685
0,27.0,70000.0,5.0,pro,referral,CA,,14.4,user346@domain46.com,smart_tv,Mar,4.678624095000913
1,60.0,,400.0,basic,ads,US,1.0,2.5,user139@domain39.com,desktop,Feb,0.6623484780666158
1,41.0,,45.0,basic,,US,3.0,,user621@domain21.com,mobile,Jun,3.602047512918392
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user499@domain49.com,mobile,Jun,2.7946119744932116
1,31.0,76000.0,8.0,pro,ads,US,8.0,9.7738875564949,user370@domain20.com,mobile,Jul,2.641123684449309
0,,64000.0,9.0,pro,organic,GB,8.0,13.2,user198@domain48.com,tablet,Jul,20.347072678182492
1,38.0,,,basic,organic,GB,4.0,,user687@domain37.com,desktop,Mar,13.325835259056923
1,30.0,61000.0,2.0,pro,organic,US,9.0,16.0,user584@domain34.com,smart_tv,Aug,20.53942294263601
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user901@domain1.com,desktop,Feb,2.010691952631466
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user59@domain9.com,mobile,Jan,1.7663774588550183
1,33.0,202335.2123660088,4.0,pro,ads,US,10.0,15.5,user328@domain28.com,wearable,Aug,19.9616592592749
0,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user96@domain46.com,desktop,Jun,11.970563240922171
1,,68000.0,3.0,pro,organic,US,11.0,17.0,user312@domain12.com,wearable,Jun,
1,36.0,90000.0,,pro,referral,US,13.0,,user974@domain24.com,mobile,Sep,
1,,,400.0,basic,ads,US,1.0,,user299@domain49.com,desktop,Feb,
1,48.0,43000.0,,,referral,US,2.0,4.6,user277@domain27.com,smart_tv,Jul,2.0589862318562933
0,30.0,61000.0,2.0,pro,organic,US,9.0,16.0,user924@domain24.com,desktop,May,14.38013614691376
1,41.0,,45.0,basic,organic,US,3.0,5.0,user601@domain1.com,mobile,Mar,8.072864190910112
1,60.0,38000.0,400.0,basic,ads,US,1.0,2.5,user439@domain39.com,desktop,Jul,4.3105217774046185
1,48.0,,300.0,basic,referral,US,2.0,4.6,user837@domain37.com,,Jan,-5.141137626975489
1,31.0,76000.0,8.0,pro,,US,8.0,13.9,user570@domain20.com,desktop,Dec,1.1739077639548086
1,,,400.0,basic,ads,US,1.0,,user879@domain29.com,mobile,Apr,1.0406229620204321
1,41.0,39000.0,45.0,basic,organic,US,3.0,5.0,user261@domain11.com,,Oct,3.602531674468686
1,29.0,64000.0,9.0,,organic,GB,8.0,13.2,user578@domain28.com,mobile,Jun,13.747694031940059
1,70.57885609015021,,120.0,basic,ads,GB,,3.1,user23@domain23.com,mobile,Nov,12.39487526213349
0,31.0,,8.0,pro,ads,US,8.0,13.9,user30@domain30.com,mobile,Apr,10.308560185122605
1,48.0,,300.0,basic,referral,US,2.0,4.6,user617@domain17.com,mobile,Mar,-1.623037541520549
1,31.0,76000.0,8.0,pro,ads,US,8.0,,user10@domain10.com,mobile,Jun,13.062902018270496
1,,39000.0,,basic,organic,US,3.0,5.0,user221@domain21.com,mobile,Dec,-7.983068604717857
1,28.0,,3.0,pro,ads,US,7.0,12.5,user820@domain20.com,desktop,Jan,11.695670598761549
1,32.0,80000.0,7.0,pro,ads,CA,9.0,12.9,user296@domain46.com,desktop,Apr,19.729719765639086
1,36.0,90000.0,6.0,pro,referral,US,13.0,19.0,user54@domain4.com,desktop,Feb,18.991108091319237
1,,88000.0,1.0,pro,,CA,,,user542@domain42.com,mobile,Jul,10.919747495282376
