student_id,full_name,program,gpa,credits,status
S002,Bilal King,CS,2.7,28,active
S003,Lina Zaid,Math,3.8,38,active
S005,Noor H.,Physics,"3,7",45,active
S006,Khaled S,CS,"3,85",39,active
S011,Sarah M,Biology,3.5,40,active
S012,Ahmed K.,CS,3.9,45,active
S016,Rana S.,Math,"3,6",42,active
S017,Samir L.,Physics,2.9,29,active
S018,Dina A.,Biology,3.8,44,active
S019,Karim H.,CS,3.2,38,active
S020,,
S061,Majed T.,Chemistry,"3,8",44,active
S062,Samira K.,Engineering,3.3,37,active
S063,Waleed N.,CS,2.6,26,active
S064,Amira S.,Math,3.6,40,active
S201,Ahmed Z.,CS,3.7,43,active
S202,Sara Y.,Math,"3,9",45,active
S203,Mohammed X.,Physics,2.8,28,active
S204,Layla W.,Biology,3.8,44,active
S205,Omar V.,Chemistry,3.4,38,active
S206,Nour U.,Engineering,3.1,35,active
S207,Khaled T.,CS,2.9,29,active
S208,Maya S.,Math,3.6,40,active
S209,Yusuf R.,Physics,2.5,25,active
S210,Salma Q.,Biology,3.9,47,active
S211,Rami P.,Chemistry,3.3,37,active
S212,Hala O.,Engineering,3.0,34,active
S213,Tariq N.,CS,3.4,38,active
S214,Leila M.,Math,3.7,41,active
S215,Sami L.,Physics,2.6,26,active
S216,Rania K.,Biology,3.8,44,active
S217,Kamal J.,Chemistry,3.2,36,active
S218,Lina I.,Engineering,2.9,31,active
S219,Waleed H.,CS,3.5,39,active
S220,Amira G.,Math,3.9,45,active
S221,Majed F.,Chemistry,3.6,40,active
S222,Samira E.,Engineering,3.1,35,active
S223,Bassam D.,CS,2.8,28,active
S224,Nader C.,Math,3.5,39,active
S225,Ziad B.,Physics,2.7,27,active
S226,Dana A.,Biology,3.7,43,active
S227,Kareem Z.,Chemistry,3.3,37,active
S228,Sara Y.,Engineering,2.9,31,active
S229,Omar X.,CS,3.4,39,active
S230,Nadia W.,Math,3.8,42,active
S231,Malik V.,Chemistry,3.6,40,active
S232,Hiba U.,Engineering,3.2,36,active
S233,Rashid T.,CS,2.9,29,active
S234,Maram S.,Math,3.7,41,active
S235,Amjad R.,Physics,2.6,26,active
S236,Lina Q.,Biology,3.8,44,active
S237,Kareem P.,Chemistry,3.1,35,active
S238,Sara O.,Engineering,3.0,34,active
S239,Tariq N.,CS,3.5,39,active
S240,Dana M.,Math,3.9,45,active
S241,Samir L.,Chemistry,3.6,40,active
S242,Rania K.,Engineering,3.4,38,active
S243,Kamal J.,CS,2.9,29,active
S244,Leen I.,Math,3.7,41,active
S245,Yara H.,Physics,2.6,26,active
S246,Amira G.,Biology,3.8,44,active
S247,Nader F.,Chemistry,3.2,36,active
S248,Sami E.,Engineering,3.1,35,active
S249,Tariq D.,CS,3.5,39,active
S250,Dana C.,Math,3.9,45,active
S251,Zhang Wei,CS,"3,8",44,active
S252,Anna Müller,Math,3.7,41,active
S253,Jean Dupont,Physics,"3,6",40,active
S254,Maria Garcia,Biology,3.9,46,active
S255,Hiroshi Tanaka,Chemistry,"3,5",39,active
S256,Olga Ivanova,Engineering,3.2,36,active
S257,Mohammed Ali,CS,3.4,38,active
S258,Sofia Andersson,Math,3.6,40,active
S259,Giovanni Rossi,Physics,2.8,28,active
S260,Yuki Nakamura,Biology,3.8,42,active
S261,Ahmed Hassan,Chemistry,3.1,35,active
S262,Elena Petrov,Engineering,3.3,37,active
S263,Lucas Silva,CS,3.5,39,active
S264,Emma Johansson,Math,3.7,41,active
S265,Marco Bianchi,Physics,3.0,34,active
S266,Isabella Costa,Biology,3.8,44,active
S267,David Kim,Chemistry,3.2,36,active
S268,Sophia Lee,Engineering,3.1,35,active
S269,James Wilson,CS,3.4,38,active
S270,Emily Chen,Math,3.6,40,active
S271,Michael Brown,Physics,2.9,29,active
S272,Olivia Davis,Biology,3.7,41,active
S273,William Taylor,Chemistry,3.3,37,active
S274,Charlotte Martinez,Engineering,3.0,34,active
S275,Benjamin Anderson,CS,3.5,39,active
S276,Amelia Thomas,Math,3.8,42,active
S277,Henry Jackson,Physics,2.7,27,active
S278,Harper White,Biology,3.9,45,active
S279,Alexander Harris,Chemistry,3.4,38,active
S280,Mia Martin,Engineering,3.2,36,active
S281,Daniel Thompson,CS,3.6,40,active
S282,Abigail Garcia,Math,3.7,41,active
S283,Matthew Martinez,Physics,2.8,28,active
S284,Elizabeth Robinson,Biology,3.8,44,active
S285,Joseph Clark,Chemistry,3.1,35,active
S286,Victoria Rodriguez,Engineering,3.0,34,active
S287,Andrew Lewis,CS,3.4,38,active
S288,Samantha Walker,Math,3.6,40,active
S289,Christopher Hall,Physics,2.9,29,active
S290,Grace Allen,Biology,3.7,41,active
S291,Joshua Young,Chemistry,3.3,37,active
S292,Lily King,Engineering,3.1,35,active
S293,Anthony Wright,CS,3.5,39,active
S294,Chloe Lopez,Math,3.8,42,active
S295,Jonathan Hill,Physics,2.6,26,active
S296,Zoey Scott,Biology,3.9,45,active
S297,Nicholas Green,Chemistry,3.4,38,active
S298,Ava Adams,Engineering,3.2,36,active
S299,Tyler Baker,CS,3.6,40,active
S300,Natalie Nelson,Math,3.7,41,active
