student_id,full_name,program,gpa,credits
S006,Khaled S,CS,3.9,41
S007,Maya R.,Math,3.85,40
S008,Nour H.,Physics,2.1,25
S015,Marwa T.,Biology,2.1,28
S021,Nadia K.,Math,3.7,43
S022,Omar F.,CS,3.95,47
S023,Sara H.,Biology,2.8,31
S024,Hassan M.,Physics,3.6,39
S071,Kamal D.,Chemistry,3.5,40
S072,Lina F.,Engineering,3.0,34
S073,Tamer S.,CS,2.7,27
S074,Rima A.,Math,3.8,42
S301,Ahmed B.,CS,3.8,44
S302,Sara C.,Math,3.7,43
S303,Mohammed D.,Physics,2.9,29
S304,Layla E.,Biology,3.9,47
S305,Omar F.,Chemistry,3.4,38
S306,Nour G.,Engineering,3.1,35
S307,Khaled H.,CS,2.8,28
S308,Maya I.,Math,3.6,40
S309,Yusuf J.,Physics,2.5,25
S310,Salma K.,Biology,3.8,44
S311,Rami L.,Chemistry,3.3,37
S312,Hala M.,Engineering,3.0,34
S313,Tariq N.,CS,3.4,38
S314,Leila O.,Math,3.7,41
S315,Sami P.,Physics,2.6,26
S316,Rania Q.,Biology,3.8,44
S317,Kamal R.,Chemistry,3.2,36
S318,Lina S.,Engineering,2.9,31
S319,Waleed T.,CS,3.5,39
S320,Amira U.,Math,3.9,45
S321,Majed V.,Chemistry,3.6,40
S322,Samira W.,Engineering,3.1,35
S323,Bassam X.,CS,2.8,28
S324,Nader Y.,Math,3.5,39
S325,Ziad Z.,Physics,2.7,27
S326,Dana A.,Biology,3.7,43
S327,Kareem B.,Chemistry,3.3,37
S328,Sara C.,Engineering,2.9,31
S329,Omar D.,CS,3.4,39
S330,Nadia E.,Math,3.8,42
S331,Malik F.,Chemistry,3.6,40
S332,Hiba G.,Engineering,3.2,36
S333,Rashid H.,CS,2.9,29
S334,Maram I.,Math,3.7,41
S335,Amjad J.,Physics,2.6,26
S336,Lina K.,Biology,3.8,44
S337,Kareem L.,Chemistry,3.1,35
S338,Sara M.,Engineering,3.0,34
S339,Tariq N.,CS,3.5,39
S340,Dana O.,Math,3.9,45
S341,Samir P.,Chemistry,3.6,40
S342,Rania Q.,Engineering,3.4,38
S343,Kamal R.,CS,2.9,29
S344,Leen S.,Math,3.7,41
S345,Yara T.,Physics,2.6,26
S346,Amira U.,Biology,3.8,44
S347,Nader V.,Chemistry,3.2,36
S348,Sami W.,Engineering,3.1,35
S349,Tariq X.,CS,3.5,39
S350,Dana Y.,Math,3.9,45
S351,Zhang Wei,CS,"3,8",44
S352,Anna Müller,Math,3.7,41
S353,Jean Dupont,Physics,"3,6",40
S354,Maria Garcia,Biology,3.9,46
S355,Hiroshi Tanaka,Chemistry,"3,5",39
S356,Olga Ivanova,Engineering,3.2,36
S357,Mohammed Ali,CS,3.4,38
S358,Sofia Andersson,Math,3.6,40
S359,Giovanni Rossi,Physics,2.8,28
S360,Yuki Nakamura,Biology,3.8,42
S361,Ahmed Hassan,Chemistry,3.1,35
S362,Elena Petrov,Engineering,3.3,37
S363,Lucas Silva,CS,3.5,39
S364,Emma Johansson,Math,3.7,41
S365,Marco Bianchi,Physics,3.0,34
S366,Isabella Costa,Biology,3.8,44
S367,David Kim,Chemistry,3.2,36
S368,Sophia Lee,Engineering,3.1,35
S369,James Wilson,CS,3.4,38
S370,Emily Chen,Math,3.6,40
S371,Michael Brown,Physics,2.9,29
S372,Olivia Davis,Biology,3.7,41
S373,William Taylor,Chemistry,3.3,37
S374,Charlotte Martinez,Engineering,3.0,34
S375,Benjamin Anderson,CS,3.5,39
S376,Amelia Thomas,Math,3.8,42
S377,Henry Jackson,Physics,2.7,27
S378,Harper White,Biology,3.9,45
S379,Alexander Harris,Chemistry,3.4,38
S380,Mia Martin,Engineering,3.2,36
S381,Daniel Thompson,CS,3.6,40
S382,Abigail Garcia,Math,3.7,41
S383,Matthew Martinez,Physics,2.8,28
S384,Elizabeth Robinson,Biology,3.8,44
S385,Joseph Clark,Chemistry,3.1,35
S386,Victoria Rodriguez,Engineering,3.0,34
S387,Andrew Lewis,CS,3.4,38
S388,Samantha Walker,Math,3.6,40
S389,Christopher Hall,Physics,2.9,29
S390,Grace Allen,Biology,3.7,41
S391,Joshua Young,Chemistry,3.3,37
S392,Lily King,Engineering,3.1,35
S393,Anthony Wright,CS,3.5,39
S394,Chloe Lopez,Math,3.8,42
S395,Jonathan Hill,Physics,2.6,26
S396,Zoey Scott,Biology,3.9,45
S397,Nicholas Green,Chemistry,3.4,38
S398,Ava Adams,Engineering,3.2,36
S399,Tyler Baker,CS,3.6,40
S400,Natalie Nelson,Math,3.7,41
