student_id,full_name,program,gpa,credits,status
S001,Alice Noor,CS,4.0,46,active
S013,Leila N.,Math,2.8,25,active
S033,Ibrahim S.,CS,"3,9",43,active
S034,Fatima A.,Biology,3.6,40,active
S035,Mohamed K.,Physics,2.2,21,active
S036,Sanaa H.,Math,3.85,44,active
S037,Ali R.,CS,3.1,37,active
S038,Reem L.,Biology,2.9,30,active
S081,Rami K.,Chemistry,3.7,41,active
S082,Sana T.,Engineering,3.2,36,active
S401,Ahmed Z.,CS,3.8,44,active
S402,Sara Y.,Math,"3,9",45,active
S403,Mohammed X.,Physics,2.8,28,active
S404,Layla W.,Biology,3.8,44,active
S405,Omar V.,Chemistry,3.4,38,active
S406,Nour U.,Engineering,3.1,35,active
S407,Khaled T.,CS,2.9,29,active
S408,Maya S.,Math,3.6,40,active
S409,Yusuf R.,Physics,2.5,25,active
S410,Salma Q.,Biology,3.9,47,active
S411,Rami P.,Chemistry,3.3,37,active
S412,Hala O.,Engineering,3.0,34,active
S413,Tariq N.,CS,3.4,38,active
S414,Leila M.,Math,3.7,41,active
S415,Sami L.,Physics,2.6,26,active
S416,Rania K.,Biology,3.8,44,active
S417,Kamal J.,Chemistry,3.2,36,active
S418,Lina I.,Engineering,2.9,31,active
S419,Waleed H.,CS,3.5,39,active
S420,Amira G.,Math,3.9,45,active
S421,Majed F.,Chemistry,3.6,40,active
S422,Samira E.,Engineering,3.1,35,active
S423,Bassam D.,CS,2.8,28,active
S424,Nader C.,Math,3.5,39,active
S425,Ziad B.,Physics,2.7,27,active
S426,Dana A.,Biology,3.7,43,active
S427,Kareem Z.,Chemistry,3.3,37,active
S428,Sara Y.,Engineering,2.9,31,active
S429,Omar X.,CS,3.4,39,active
S430,Nadia W.,Math,3.8,42,active
S431,Malik V.,Chemistry,3.6,40,active
S432,Hiba U.,Engineering,3.2,36,active
S433,Rashid T.,CS,2.9,29,active
S434,Maram S.,Math,3.7,41,active
S435,Amjad R.,Physics,2.6,26,active
S436,Lina Q.,Biology,3.8,44,active
S437,Kareem P.,Chemistry,3.1,35,active
S438,Sara O.,Engineering,3.0,34,active
S439,Tariq N.,CS,3.5,39,active
S440,Dana M.,Math,3.9,45,active
S441,Samir L.,Chemistry,3.6,40,active
S442,Rania K.,Engineering,3.4,38,active
S443,Kamal J.,CS,2.9,29,active
S444,Leen I.,Math,3.7,41,active
S445,Yara H.,Physics,2.6,26,active
S446,Amira G.,Biology,3.8,44,active
S447,Nader F.,Chemistry,3.2,36,active
S448,Sami E.,Engineering,3.1,35,active
S449,Tariq D.,CS,3.5,39,active
S450,Dana C.,Math,3.9,45,active
S451,Zhang Wei,CS,"3,8",44,active
S452,Anna Müller,Math,3.7,41,active
S453,Jean Dupont,Physics,"3,6",40,active
S454,Maria Garcia,Biology,3.9,46,active
S455,Hiroshi Tanaka,Chemistry,"3,5",39,active
S456,Olga Ivanova,Engineering,3.2,36,active
S457,Mohammed Ali,CS,3.4,38,active
S458,Sofia Andersson,Math,3.6,40,active
S459,Giovanni Rossi,Physics,2.8,28,active
S460,Yuki Nakamura,Biology,3.8,42,active
S461,Ahmed Hassan,Chemistry,3.1,35,active
S462,Elena Petrov,Engineering,3.3,37,active
S463,Lucas Silva,CS,3.5,39,active
S464,Emma Johansson,Math,3.7,41,active
S465,Marco Bianchi,Physics,3.0,34,active
S466,Isabella Costa,Biology,3.8,44,active
S467,David Kim,Chemistry,3.2,36,active
S468,Sophia Lee,Engineering,3.1,35,active
S469,James Wilson,CS,3.4,38,active
S470,Emily Chen,Math,3.6,40,active
S471,Michael Brown,Physics,2.9,29,active
S472,Olivia Davis,Biology,3.7,41,active
S473,William Taylor,Chemistry,3.3,37,active
S474,Charlotte Martinez,Engineering,3.0,34,active
S475,Benjamin Anderson,CS,3.5,39,active
S476,Amelia Thomas,Math,3.8,42,active
S477,Henry Jackson,Physics,2.7,27,active
S478,Harper White,Biology,3.9,45,active
S479,Alexander Harris,Chemistry,3.4,38,active
S480,Mia Martin,Engineering,3.2,36,active
S481,Daniel Thompson,CS,3.6,40,active
S482,Abigail Garcia,Math,3.7,41,active
S483,Matthew Martinez,Physics,2.8,28,active
S484,Elizabeth Robinson,Biology,3.8,44,active
S485,Joseph Clark,Chemistry,3.1,35,active
S486,Victoria Rodriguez,Engineering,3.0,34,active
S487,Andrew Lewis,CS,3.4,38,active
S488,Samantha Walker,Math,3.6,40,active
S489,Christopher Hall,Physics,2.9,29,active
S490,Grace Allen,Biology,3.7,41,active
S491,Joshua Young,Chemistry,3.3,37,active
S492,Lily King,Engineering,3.1,35,active
S493,Anthony Wright,CS,3.5,39,active
S494,Chloe Lopez,Math,3.8,42,active
S495,Jonathan Hill,Physics,2.6,26,active
S496,Zoey Scott,Biology,3.9,45,active
S497,Nicholas Green,Chemistry,3.4,38,active
S498,Ava Adams,Engineering,3.2,36,active
S499,Tyler Baker,CS,3.6,40,active
S500,Natalie Nelson,Math,3.7,41,active
