student_id,full_name,program,gpa,credits,status
S009,Farah L,CS,3.95,44,active
S010,Ali J.,Math,1.9,15,active
S025,Yara W.,Biology,3.85,42,active
S026,Tarek N.,CS,3.1,35,active
S027,Layla M.,Math,2.4,22,active
S028,Ziad R.,Physics,3.7,41,active
S029,No student_id,CS,3.5,40,active
S030,Ahmed Y.,,3.8,45,active
S031,Maya K.,Biology,5.5,50,active
S032,,
S091,Malik T.,Chemistry,3.9,46,active
S092,Hiba S.,Engineering,3.1,35,active
S501,Ahmed Z.,CS,3.8,44,active
S502,Sara Y.,Math,"3,9",45,active
S503,Mohammed X.,Physics,2.8,28,active
S504,Layla W.,Biology,3.8,44,active
S505,Omar V.,Chemistry,3.4,38,active
S506,Nour U.,Engineering,3.1,35,active
S507,Khaled T.,CS,2.9,29,active
S508,Maya S.,Math,3.6,40,active
S509,Yusuf R.,Physics,2.5,25,active
S510,Salma Q.,Biology,3.9,47,active
S511,Rami P.,Chemistry,3.3,37,active
S512,Hala O.,Engineering,3.0,34,active
S513,Tariq N.,CS,3.4,38,active
S514,Leila M.,Math,3.7,41,active
S515,Sami L.,Physics,2.6,26,active
S516,Rania K.,Biology,3.8,44,active
S517,Kamal J.,Chemistry,3.2,36,active
S518,Lina I.,Engineering,2.9,31,active
S519,Waleed H.,CS,3.5,39,active
S520,Amira G.,Math,3.9,45,active
S521,Majed F.,Chemistry,3.6,40,active
S522,Samira E.,Engineering,3.1,35,active
S523,Bassam D.,CS,2.8,28,active
S524,Nader C.,Math,3.5,39,active
S525,Ziad B.,Physics,2.7,27,active
S526,Dana A.,Biology,3.7,43,active
S527,Kareem Z.,Chemistry,3.3,37,active
S528,Sara Y.,Engineering,2.9,31,active
S529,Omar X.,CS,3.4,39,active
S530,Nadia W.,Math,3.8,42,active
S531,Malik V.,Chemistry,3.6,40,active
S532,Hiba U.,Engineering,3.2,36,active
S533,Rashid T.,CS,2.9,29,active
S534,Maram S.,Math,3.7,41,active
S535,Amjad R.,Physics,2.6,26,active
S536,Lina Q.,Biology,3.8,44,active
S537,Kareem P.,Chemistry,3.1,35,active
S538,Sara O.,Engineering,3.0,34,active
S539,Tariq N.,CS,3.5,39,active
S540,Dana M.,Math,3.9,45,active
S541,Samir L.,Chemistry,3.6,40,active
S542,Rania K.,Engineering,3.4,38,active
S543,Kamal J.,CS,2.9,29,active
S544,Leen I.,Math,3.7,41,active
S545,Yara H.,Physics,2.6,26,active
S546,Amira G.,Biology,3.8,44,active
S547,Nader F.,Chemistry,3.2,36,active
S548,Sami E.,Engineering,3.1,35,active
S549,Tariq D.,CS,3.5,39,active
S550,Dana C.,Math,3.9,45,active
S551,Zhang Wei,CS,"3,8",44,active
S552,Anna Müller,Math,3.7,41,active
S553,Jean Dupont,Physics,"3,6",40,active
S554,Maria Garcia,Biology,3.9,46,active
S555,Hiroshi Tanaka,Chemistry,"3,5",39,active
S556,Olga Ivanova,Engineering,3.2,36,active
S557,Mohammed Ali,CS,3.4,38,active
S558,Sofia Andersson,Math,3.6,40,active
S559,Giovanni Rossi,Physics,2.8,28,active
S560,Yuki Nakamura,Biology,3.8,42,active
S561,Ahmed Hassan,Chemistry,3.1,35,active
S562,Elena Petrov,Engineering,3.3,37,active
S563,Lucas Silva,CS,3.5,39,active
S564,Emma Johansson,Math,3.7,41,active
S565,Marco Bianchi,Physics,3.0,34,active
S566,Isabella Costa,Biology,3.8,44,active
S567,David Kim,Chemistry,3.2,36,active
S568,Sophia Lee,Engineering,3.1,35,active
S569,James Wilson,CS,3.4,38,active
S570,Emily Chen,Math,3.6,40,active
S571,Michael Brown,Physics,2.9,29,active
S572,Olivia Davis,Biology,3.7,41,active
S573,William Taylor,Chemistry,3.3,37,active
S574,Charlotte Martinez,Engineering,3.0,34,active
S575,Benjamin Anderson,CS,3.5,39,active
S576,Amelia Thomas,Math,3.8,42,active
S577,Henry Jackson,Physics,2.7,27,active
S578,Harper White,Biology,3.9,45,active
S579,Alexander Harris,Chemistry,3.4,38,active
S580,Mia Martin,Engineering,3.2,36,active
S581,Daniel Thompson,CS,3.6,40,active
S582,Abigail Garcia,Math,3.7,41,active
S583,Matthew Martinez,Physics,2.8,28,active
S584,Elizabeth Robinson,Biology,3.8,44,active
S585,Joseph Clark,Chemistry,3.1,35,active
S586,Victoria Rodriguez,Engineering,3.0,34,active
S587,Andrew Lewis,CS,3.4,38,active
S588,Samantha Walker,Math,3.6,40,active
S589,Christopher Hall,Physics,2.9,29,active
S590,Grace Allen,Biology,3.7,41,active
S591,Joshua Young,Chemistry,3.3,37,active
S592,Lily King,Engineering,3.1,35,active
S593,Anthony Wright,CS,3.5,39,active
S594,Chloe Lopez,Math,3.8,42,active
S595,Jonathan Hill,Physics,2.6,26,active
S596,Zoey Scott,Biology,3.9,45,active
S597,Nicholas Green,Chemistry,3.4,38,active
S598,Ava Adams,Engineering,3.2,36,active
S599,Tyler Baker,CS,3.6,40,active
S600,Natalie Nelson,Math,3.7,41,active
