student_id,full_name,program,gpa,credits,status
S116,Zhang Wei,CS,"3,8",44,active
S117,Anna Müller,Math,3.7,41,active
S118,Jean Dupont,Physics,"3,6",40,active
S119,Maria Garcia,Biology,3.9,46,active
S120,Hiroshi Tanaka,Chemistry,"3,5",39,active
S121,Olga Ivanova,Engineering,3.2,36,active
S122,Mohammed Ali,CS,3.4,38,active
S123,Sofia Andersson,Math,3.6,40,active
S801,Li Wei,CS,"3,8",44,active
S802,Sophie Martin,Math,3.7,41,active
S803,Carlos Rodriguez,Physics,"3,6",40,active
S804,Yuki Nakamura,Biology,3.9,46,active
S805,Ahmed Hassan,Chemistry,"3,5",39,active
S806,Emma Johansson,Engineering,3.2,36,active
S807,Marco Rossi,CS,3.4,38,active
S808,Isabella Costa,Math,3.6,40,active
S809,Jean-Pierre Dubois,Physics,2.8,28,active
S810,Maria Santos,Biology,3.8,42,active
S811,Kenji Yamamoto,Chemistry,3.1,35,active
S812,Anastasia Petrov,Engineering,3.3,37,active
S813,Giuseppe Bianchi,CS,3.5,39,active
S814,Ingrid Bergman,Math,3.7,41,active
S815,Pedro Martinez,Physics,3.0,34,active
S816,Mei Ling,Biology,3.8,44,active
S817,Hans Mueller,Chemistry,3.2,36,active
S818,Anna Kowalski,Engineering,3.1,35,active
S819,Francois Leclerc,CS,3.4,38,active
S820,Katarina Novak,Math,3.6,40,active
S821,Diego Fernandez,Physics,2.9,29,active
S822,Sakura Tanaka,Biology,3.7,41,active
S823,Omar Al-Rashid,Chemistry,3.3,37,active
S824,Elena Volkov,Engineering,3.0,34,active
S825,Luigi Conti,CS,3.5,39,active
S826,Emma Lindberg,Math,3.8,42,active
S827,Rafael Silva,Physics,2.7,27,active
S828,Yuki Sato,Biology,3.9,45,active
S829,Ahmed Malik,Chemistry,3.4,38,active
S830,Olga Sokolov,Engineering,3.2,36,active
S831,Antonio Garcia,CS,3.6,40,active
S832,Klara Andersson,Math,3.7,41,active
S833,Roberto Martinez,Physics,2.8,28,active
S834,Xiaoli Wang,Biology,3.8,44,active
S835,Thomas Schmidt,Chemistry,3.1,35,active
S836,Maria Kowalski,Engineering,3.1,35,active
S837,Jean-Luc Bernard,CS,3.4,38,active
S838,Anna Petrov,Math,3.6,40,active
S839,Carlos Mendez,Physics,2.9,29,active
S840,Haruka Yamada,Biology,3.7,41,active
S841,Mohammed Ibrahim,Chemistry,3.3,37,active
S842,Svetlana Ivanova,Engineering,3.0,34,active
S843,Francesco Romano,CS,3.5,39,active
S844,Sofia Johansson,Math,3.8,42,active
S845,Juan Rodriguez,Physics,2.6,26,active
S846,Mei Chen,Biology,3.9,45,active
S847,Karl Mueller,Chemistry,3.4,38,active
S848,Anna Novak,Engineering,3.2,36,active
S849,Pierre Dubois,CS,3.6,40,active
S850,Erik Lindberg,Math,3.7,41,active
S851,Roberto Silva,Physics,2.7,27,active
S852,Yuki Yamamoto,Biology,3.8,44,active
S853,Ahmed Al-Mansoor,Chemistry,3.1,35,active
S854,Olga Petrov,Engineering,3.3,37,active
S855,Marco Bianchi,CS,3.4,38,active
S856,Emma Andersson,Math,3.6,40,active
S857,Carlos Martinez,Physics,2.8,28,active
S858,Xiaoli Zhang,Biology,3.7,41,active
S859,Hans Wagner,Chemistry,3.2,36,active
S860,Anna Kowalski,Engineering,3.1,35,active
S861,Francois Martin,CS,3.5,39,active
S862,Katarina Novak,Math,3.8,42,active
S863,Diego Fernandez,Physics,2.9,29,active
S864,Sakura Sato,Biology,3.9,45,active
S865,Omar Al-Hassan,Chemistry,3.4,38,active
S866,Elena Volkov,Engineering,3.2,36,active
S867,Luigi Rossi,CS,3.6,40,active
S868,Ingrid Bergman,Math,3.7,41,active
S869,Rafael Santos,Physics,2.6,26,active
S870,Yuki Tanaka,Biology,3.8,44,active
S871,Ahmed Malik,Chemistry,3.1,35,active
S872,Olga Sokolov,Engineering,3.3,37,active
S873,Antonio Garcia,CS,3.4,38,active
S874,Klara Johansson,Math,3.6,40,active
S875,Roberto Martinez,Physics,2.8,28,active
S876,Xiaoli Wang,Biology,3.7,41,active
S877,Thomas Schmidt,Chemistry,3.2,36,active
S878,Maria Kowalski,Engineering,3.1,35,active
S879,Jean-Luc Bernard,CS,3.5,39,active
S880,Anna Petrov,Math,3.8,42,active
S881,Carlos Mendez,Physics,2.7,27,active
S882,Haruka Yamada,Biology,3.9,45,active
S883,Mohammed Ibrahim,Chemistry,3.4,38,active
S884,Svetlana Ivanova,Engineering,3.2,36,active
S885,Francesco Romano,CS,3.6,40,active
S886,Sofia Johansson,Math,3.7,41,active
S887,Juan Rodriguez,Physics,2.9,29,active
S888,Mei Chen,Biology,3.8,44,active
S889,Karl Mueller,Chemistry,3.1,35,active
S890,Anna Novak,Engineering,3.3,37,active
S891,Pierre Dubois,CS,3.4,38,active
S892,Erik Lindberg,Math,3.6,40,active
S893,Roberto Silva,Physics,2.8,28,active
S894,Yuki Yamamoto,Biology,3.7,41,active
S895,Ahmed Al-Mansoor,Chemistry,3.2,36,active
S896,Olga Petrov,Engineering,3.1,35,active
S897,Marco Bianchi,CS,3.5,39,active
S898,Emma Andersson,Math,3.8,42,active
S899,Carlos Martinez,Physics,2.6,26,active
S900,Xiaoli Zhang,Biology,3.9,45,active
