student_id,full_name,program,gpa,credits,status
S039,Salma D.,Math,3.8,41,active
S040,Omar T.,CS,3.7,39,active
S041,Lina K.,Biology,3.9,45,active
S042,Khaled M.,Physics,2.5,24,active
S012,Ahmed K.,CS,3.95,48,active
S022,Omar F.,CS,4.0,50,active
S043,Nour A.,Math,3.2,36,active
S044,Yasmine B.,Biology,2.7,28,active
S101,Samir T.,Chemistry,3.6,40,active
S102,Rania H.,Engineering,3.4,38,active
S601,Ahmed Z.,CS,3.8,44,active
S602,Sara Y.,Math,"3,9",45,active
S603,Mohammed X.,Physics,2.8,28,active
S604,Layla W.,Biology,3.8,44,active
S605,Omar V.,Chemistry,3.4,38,active
S606,Nour U.,Engineering,3.1,35,active
S607,Khaled T.,CS,2.9,29,active
S608,Maya S.,Math,3.6,40,active
S609,Yusuf R.,Physics,2.5,25,active
S610,Salma Q.,Biology,3.9,47,active
S611,Rami P.,Chemistry,3.3,37,active
S612,Hala O.,Engineering,3.0,34,active
S613,Tariq N.,CS,3.4,38,active
S614,Leila M.,Math,3.7,41,active
S615,Sami L.,Physics,2.6,26,active
S616,Rania K.,Biology,3.8,44,active
S617,Kamal J.,Chemistry,3.2,36,active
S618,Lina I.,Engineering,2.9,31,active
S619,Waleed H.,CS,3.5,39,active
S620,Amira G.,Math,3.9,45,active
S621,Majed F.,Chemistry,3.6,40,active
S622,Samira E.,Engineering,3.1,35,active
S623,Bassam D.,CS,2.8,28,active
S624,Nader C.,Math,3.5,39,active
S625,Ziad B.,Physics,2.7,27,active
S626,Dana A.,Biology,3.7,43,active
S627,Kareem Z.,Chemistry,3.3,37,active
S628,Sara Y.,Engineering,2.9,31,active
S629,Omar X.,CS,3.4,39,active
S630,Nadia W.,Math,3.8,42,active
S631,Malik V.,Chemistry,3.6,40,active
S632,Hiba U.,Engineering,3.2,36,active
S633,Rashid T.,CS,2.9,29,active
S634,Maram S.,Math,3.7,41,active
S635,Amjad R.,Physics,2.6,26,active
S636,Lina Q.,Biology,3.8,44,active
S637,Kareem P.,Chemistry,3.1,35,active
S638,Sara O.,Engineering,3.0,34,active
S639,Tariq N.,CS,3.5,39,active
S640,Dana M.,Math,3.9,45,active
S641,Samir L.,Chemistry,3.6,40,active
S642,Rania K.,Engineering,3.4,38,active
S643,Kamal J.,CS,2.9,29,active
S644,Leen I.,Math,3.7,41,active
S645,Yara H.,Physics,2.6,26,active
S646,Amira G.,Biology,3.8,44,active
S647,Nader F.,Chemistry,3.2,36,active
S648,Sami E.,Engineering,3.1,35,active
S649,Tariq D.,CS,3.5,39,active
S650,Dana C.,Math,3.9,45,active
S651,Zhang Wei,CS,"3,8",44,active
S652,Anna Müller,Math,3.7,41,active
S653,Jean Dupont,Physics,"3,6",40,active
S654,Maria Garcia,Biology,3.9,46,active
S655,Hiroshi Tanaka,Chemistry,"3,5",39,active
S656,Olga Ivanova,Engineering,3.2,36,active
S657,Mohammed Ali,CS,3.4,38,active
S658,Sofia Andersson,Math,3.6,40,active
S659,Giovanni Rossi,Physics,2.8,28,active
S660,Yuki Nakamura,Biology,3.8,42,active
S661,Ahmed Hassan,Chemistry,3.1,35,active
S662,Elena Petrov,Engineering,3.3,37,active
S663,Lucas Silva,CS,3.5,39,active
S664,Emma Johansson,Math,3.7,41,active
S665,Marco Bianchi,Physics,3.0,34,active
S666,Isabella Costa,Biology,3.8,44,active
S667,David Kim,Chemistry,3.2,36,active
S668,Sophia Lee,Engineering,3.1,35,active
S669,James Wilson,CS,3.4,38,active
S670,Emily Chen,Math,3.6,40,active
S671,Michael Brown,Physics,2.9,29,active
S672,Olivia Davis,Biology,3.7,41,active
S673,William Taylor,Chemistry,3.3,37,active
S674,Charlotte Martinez,Engineering,3.0,34,active
S675,Benjamin Anderson,CS,3.5,39,active
S676,Amelia Thomas,Math,3.8,42,active
S677,Henry Jackson,Physics,2.7,27,active
S678,Harper White,Biology,3.9,45,active
S679,Alexander Harris,Chemistry,3.4,38,active
S680,Mia Martin,Engineering,3.2,36,active
S681,Daniel Thompson,CS,3.6,40,active
S682,Abigail Garcia,Math,3.7,41,active
S683,Matthew Martinez,Physics,2.8,28,active
S684,Elizabeth Robinson,Biology,3.8,44,active
S685,Joseph Clark,Chemistry,3.1,35,active
S686,Victoria Rodriguez,Engineering,3.0,34,active
S687,Andrew Lewis,CS,3.4,38,active
S688,Samantha Walker,Math,3.6,40,active
S689,Christopher Hall,Physics,2.9,29,active
S690,Grace Allen,Biology,3.7,41,active
S691,Joshua Young,Chemistry,3.3,37,active
S692,Lily King,Engineering,3.1,35,active
S693,Anthony Wright,CS,3.5,39,active
S694,Chloe Lopez,Math,3.8,42,active
S695,Jonathan Hill,Physics,2.6,26,active
S696,Zoey Scott,Biology,3.9,45,active
S697,Nicholas Green,Chemistry,3.4,38,active
S698,Ava Adams,Engineering,3.2,36,active
S699,Tyler Baker,CS,3.6,40,active
S700,Natalie Nelson,Math,3.7,41,active
